EndNodes_1,EndNodes_2,Weight
1,2,4
1,3,4
1,4,1
1,5,4
1,6,1
1,7,3
1,9,1
1,10,2
1,11,1
1,12,4
1,13,2
1,14,3
1,15,3
1,16,2
1,17,2
1,18,1
1,19,2
1,20,2
1,21,2
1,22,3
1,23,2
1,24,3
1,25,1
1,26,1
1,27,2
1,28,3
1,29,2
1,30,2
1,31,2
1,32,1
1,33,2
1,34,2
1,35,1
1,36,1
1,37,2
1,38,2
1,39,2
1,40,2
1,41,2
1,42,2
1,43,2
1,44,2
1,45,2
1,46,1
1,47,1
1,48,2
1,49,2
1,51,1
1,52,1
1,53,2
1,54,2
1,55,1
1,56,2
1,57,2
1,58,2
1,59,3
1,60,2
1,61,3
1,62,3
1,63,2
1,64,1
1,65,2
1,66,2
1,67,4
1,68,1
1,69,2
1,70,1
1,71,1
1,72,1
1,73,2
1,74,1
1,75,3
1,76,2
1,77,2
1,78,3
1,79,2
1,80,3
1,81,1
1,82,2
1,83,2
1,84,1
1,85,3
1,86,2
1,87,2
1,88,2
1,89,2
1,91,1
1,93,1
1,94,2
1,95,1
1,96,1
2,3,4
2,4,1
2,5,2
2,7,1
2,9,1
2,10,1
2,11,2
2,12,2
2,14,1
2,15,1
2,16,1
2,17,2
2,18,2
2,19,2
2,20,1
2,22,2
2,23,2
2,24,1
2,25,1
2,26,1
2,27,2
2,28,2
2,29,1
2,30,2
2,31,1
2,34,1
2,35,2
2,36,2
2,37,2
2,40,2
2,41,1
2,42,2
2,43,2
2,44,1
2,45,2
2,46,1
2,48,2
2,49,1
2,52,1
2,54,1
2,55,2
2,56,1
2,57,1
2,58,1
2,60,1
2,61,1
2,62,1
2,64,2
2,65,3
2,66,2
2,67,2
2,68,1
2,70,2
2,72,2
2,73,2
2,74,1
2,75,2
2,76,2
2,77,1
2,78,2
2,79,2
2,80,2
2,82,1
2,83,1
2,86,3
2,87,1
2,88,3
2,89,3
2,90,1
2,91,1
2,94,1
2,95,1
2,96,1
3,4,1
3,5,2
3,7,2
3,9,1
3,10,2
3,11,1
3,12,2
3,13,2
3,14,3
3,15,2
3,16,3
3,17,2
3,18,1
3,19,3
3,20,3
3,21,2
3,22,3
3,23,3
3,24,3
3,25,1
3,26,1
3,27,3
3,28,3
3,29,3
3,30,2
3,31,2
3,33,1
3,34,1
3,35,1
3,36,2
3,37,4
3,38,1
3,39,1
3,40,2
3,41,2
3,42,3
3,43,3
3,44,3
3,45,3
3,46,2
3,47,1
3,48,3
3,49,2
3,51,1
3,52,2
3,53,1
3,54,3
3,55,3
3,56,3
3,57,3
3,58,3
3,60,2
3,61,3
3,62,3
3,63,1
3,64,1
3,65,3
3,66,3
3,67,4
3,68,2
3,69,1
3,70,3
3,71,1
3,72,4
3,73,2
3,74,3
3,75,4
3,76,4
3,77,3
3,78,3
3,79,5
3,80,3
3,81,1
3,82,4
3,83,1
3,84,1
3,85,1
3,86,3
3,87,2
3,88,5
3,89,4
3,90,2
3,91,1
3,93,1
3,94,2
3,95,2
3,96,1
4,6,1
4,8,1
4,9,1
4,12,1
4,14,1
4,15,1
4,18,1
4,21,1
4,24,1
4,26,1
4,28,1
4,30,1
4,32,1
4,34,1
4,38,1
4,42,1
4,46,1
4,47,1
4,51,1
4,55,1
4,57,1
4,63,1
4,74,1
4,80,1
4,81,1
4,84,1
4,85,1
4,90,1
4,92,3
4,93,1
4,96,1
5,6,1
5,7,3
5,8,1
5,9,1
5,10,1
5,11,1
5,12,3
5,13,1
5,14,2
5,15,2
5,16,1
5,17,2
5,19,2
5,20,1
5,21,1
5,22,3
5,23,2
5,24,2
5,25,1
5,26,1
5,27,2
5,28,3
5,29,1
5,30,3
5,31,2
5,32,2
5,33,1
5,34,1
5,35,1
5,36,1
5,37,2
5,38,1
5,39,1
5,40,3
5,41,2
5,42,2
5,43,2
5,44,1
5,45,2
5,46,2
5,47,2
5,48,2
5,49,1
5,51,1
5,53,1
5,54,1
5,55,1
5,56,2
5,57,2
5,58,1
5,60,2
5,61,2
5,62,1
5,63,1
5,64,1
5,65,2
5,66,2
5,67,2
5,68,2
5,69,1
5,70,1
5,71,1
5,72,1
5,73,2
5,74,1
5,75,2
5,76,2
5,77,2
5,78,3
5,79,2
5,80,2
5,81,1
5,82,1
5,83,2
5,84,1
5,85,2
5,86,2
5,87,2
5,88,2
5,89,2
5,91,1
5,93,1
5,94,3
5,95,1
6,7,3
6,8,2
6,9,1
6,12,2
6,13,1
6,14,2
6,15,1
6,16,1
6,18,1
6,20,1
6,21,1
6,26,1
6,31,2
6,33,1
6,34,2
6,35,1
6,38,1
6,39,1
6,44,1
6,47,1
6,49,1
6,50,2
6,52,1
6,53,1
6,57,1
6,59,2
6,61,1
6,62,1
6,63,2
6,71,1
6,72,1
6,75,1
6,77,1
6,80,1
6,81,1
6,83,1
6,85,2
6,91,1
6,95,1
6,96,2
7,8,1
7,9,1
7,10,1
7,11,1
7,12,5
7,13,2
7,14,3
7,15,1
7,16,2
7,17,2
7,18,1
7,19,2
7,20,2
7,21,1
7,22,2
7,23,1
7,24,2
7,26,1
7,27,2
7,28,3
7,29,1
7,30,1
7,31,3
7,33,2
7,34,2
7,35,2
7,36,1
7,37,2
7,39,2
7,40,2
7,41,3
7,42,2
7,43,3
7,44,2
7,45,2
7,46,1
7,47,1
7,48,2
7,49,3
7,50,2
7,51,1
7,52,1
7,53,2
7,54,1
7,55,1
7,56,3
7,57,2
7,58,1
7,59,3
7,60,2
7,61,2
7,62,2
7,63,2
7,65,2
7,66,2
7,67,2
7,68,1
7,69,1
7,70,1
7,71,2
7,72,2
7,73,3
7,74,1
7,75,3
7,76,2
7,77,2
7,78,2
7,79,2
7,80,3
7,81,3
7,82,1
7,83,1
7,84,1
7,85,2
7,86,2
7,87,1
7,88,2
7,89,2
7,91,2
7,93,1
7,94,2
7,95,3
7,96,2
8,9,3
8,11,1
8,13,1
8,14,1
8,15,2
8,21,2
8,24,2
8,25,1
8,26,4
8,29,2
8,30,1
8,33,2
8,34,1
8,36,1
8,38,1
8,41,1
8,46,1
8,52,2
8,55,1
8,57,1
8,63,2
8,64,1
8,80,1
8,85,1
8,87,1
8,90,1
8,92,1
8,94,1
8,95,1
9,10,2
9,11,2
9,12,2
9,13,3
9,14,3
9,15,3
9,16,2
9,17,3
9,18,2
9,19,3
9,20,1
9,21,2
9,22,2
9,23,1
9,24,1
9,25,2
9,26,5
9,27,3
9,28,2
9,29,2
9,30,3
9,31,1
9,32,1
9,33,3
9,34,3
9,35,2
9,36,4
9,37,3
9,38,2
9,39,2
9,40,4
9,41,2
9,42,3
9,43,3
9,44,1
9,45,2
9,46,1
9,47,2
9,48,3
9,49,2
9,50,1
9,51,1
9,52,2
9,53,2
9,54,1
9,55,1
9,56,2
9,57,3
9,58,2
9,60,2
9,61,1
9,62,1
9,63,1
9,64,1
9,65,2
9,66,2
9,67,1
9,69,1
9,73,1
9,75,1
9,76,1
9,78,1
9,79,1
9,80,1
9,83,1
9,84,1
9,85,1
9,86,2
9,87,1
9,88,1
9,89,1
9,90,2
9,91,2
9,93,1
9,94,2
9,95,1
10,11,1
10,12,2
10,13,3
10,14,2
10,15,3
10,16,4
10,17,3
10,18,2
10,19,4
10,20,2
10,21,2
10,22,3
10,23,3
10,24,2
10,25,2
