Id,Ano,Título,Detetive,Personagens Principais,tipo de morte,CEP,Local Assassinato,Motivo
1,1939,And Then There Were None,0,,"J, Q, I, A, S, L",inglaterra,Ilha,"Vingança, Prazer"
2,1944,Death Comes as the End,0,,"J, H, A, R, B",egito,Quarto,Prazer
3,1967,Endless Night,0,,"J, H, I","Alemanha, inglaterra",Quarto,"Amor, Passional"
4,1951,They Came to Baghdad,0,,K,iraque,Hotel,Inimigos
5,1939,Murder is easy,3,,"J, A",inglaterra,,Vingança
6,1925,The Secret of Chimneys,3,,S,franca,Hotel,
7,1929,The Seven Dials Mystery,3,,"J, S",inglaterra,Festa,
8,1944,Towards Zero,3,,"M, C",,Hotel,Medo
9,1924,Adventure of the Italian Nobleman,6,,"J, M",,Hotel,Dinheiro
10,1953,After the Funeral,6,,Q,inglaterra,Quarto,Dinheiro
11,1938,Appointment with Death,6,,J,israel,Arlivre,Medo
12,1936,Cards on the Table,6,"5,3,1","J, K, A, S",inglaterra,Festa,Acobertar
13,1959,Cat Among the Pigeons,6,,"M, S","oriente medio, inglaterra","Arlivre, Internato","Dinheiro, Passional"
14,1975,Curtain,6,2,"J, S",inglaterra,Hotel,Passional
15,1956,Dead Man s Folly,6,1,"I, A",inglaterra,Hotel,"Dinheiro, Medo"
16,1937,Dead Mans Mirror,6,,S,inglaterra,Quarto,"Amor, Dinheiro"
17,1935,Death in the Clouds,6,4,J,"frança, inglaterra",Trem,Dinheiro
18,1937,Death on the Nile,6,5,"K, S",egito,Navio,"Dinheiro, Amor"
19,1937,Dumb Witness,6,2,J,inglaterra,Quarto,Dinheiro
20,1972,Elephants Can Remember,6,1,"H, S","inglaterra, suica",Arlivre,Passional
21,1941,Evil Under the Sun,6,6,I,inglaterra,"Praia, Hotel",Medo
22,1942,Five Little Pigs,6,,J,inglaterra,Quarto,Vingança
23,1950,Four and Twenty Blackbirds,6,,H,inglaterra,Quarto,Vingança
24,1969,Halloween Party,6,1,"K, I, A, C ",inglaterra,"Festa, Biblioteca","Amor, Medo"
25,1938,Hercule Poirot s Christmas,6,,F,,Quarto,Vingança
26,1955,Hickory Dickory Dock,6,,"J, M",,Hotel,Medo
